number,package,version,incompatible python version,resource type
385,ftfy,6.0,3.5,whl
386,lektor,3.2.0,2.7,whl
387,lightgbm,3.3.0,3.5,whl
388,netmiko,3.4.0,2.7,gz
389,portalocker,2.3.0,2.7,whl
390,pyecharts,1.9.0,3.5,whl
391,pyinquirer,1.0.3,3.10,whl
392,python-docx,0.8.10,3.10,gz
393,tinydb-serialization,2.1.0,3.5,whl
394,attrdict,2.0.1,3.10,whl
395,chalice,1.26.1,2.7,gz
396,comtypes,1.1.7,3.10,zip
397,django-ajax-selects,2.1.0,2.7,gz
398,klein,21.8.0,3.5,whl
399,patsy,0.5.1,3.10,whl
400,pep257,0.7.0,3.10,whl
401,pychromecast,9.3.1,2.7,whl
402,pygal,2.4.0,3.10,whl
403,pytest-splinter,3.3.0,2.7,gz
404,pyvirtualdisplay,2.2,2.7,gz
405,tensorboardx,2.4,2.7,whl
406,xblock,1.5.1,2.7,gz
407,bayesian-optimization,1.2.0,2.7,gz
408,breathe,4.31.0,3.5,whl
409,detect-secrets,1.1.0,2.7,whl
410,django-imagekit,4.0.2,2.7,whl
411,dynaconf,3.1.2,2.7,whl
412,inject,4.3.1,3.5,whl
413,kafka,1.3.5,3.10,whl
414,moto-ext,2.2.3.2,2.7,whl
415,pyroute2,0.6.1,2.7,gz
416,python-bugzilla,3.1.0,2.7,whl
417,scikit-optimize,0.9.0,2.7,whl
418,soco,0.24.0,3.5,whl
419,adafruit-circuitpython-neopixel,6.2.0,3.6,whl
420,aioamqp,0.14.0,2.7,gz
421,aiocache,0.11.1,2.7,whl
422,aiofile,3.7.1,3.5,whl
423,allure-python-commons,2.9.43,2.7,gz
424,banal,1.0.1,2.7,whl
425,bqplot,0.12.19,2.7,whl
426,cachier,1.5.0,3.5,whl
427,canvasapi,2.2.0,3.5,whl
428,conllu,4.4,2.7,gz
429,einops,0.3.0,2.7,whl
430,everett,2.0.1,2.7,whl
431,face-alignment,1.3.0,3.5,gz
432,facebook-wda,1.4.0,2.7,gz
433,gin-config,0.4.0,2.7,whl
434,ib-insync,0.9.64,3.6,whl
435,injector,0.18.4,2.7,whl
436,jsonrpcserver,5.0.0,3.5,gz
437,lenses,1.1.0,3.5,whl
438,marathon,0.13.0,2.7,whl
439,normality,2.2.2,2.7,whl
440,parsy,1.3.0,2.7,whl
441,pyfcm,1.5.0,2.7,whl
442,pypika,0.48.0,2.7,gz
443,pypugjs,5.9.8,3.10,whl
444,python-jwt,3.3.0,2.7,whl
445,pyxel,1.4.3,3.10,whl
446,rarfile,4.0,2.7,gz
447,robotframework-appiumlibrary,1.6,3.5,whl
448,schematics,2.1.0,3.10,whl
449,scrapinghub,2.3.1,3.10,whl
450,synapseclient,2.4.0,3.10,whl
451,tpot,0.11.6.post3,3.5,whl
452,uiautomator2,2.16.7,3.6,whl
453,ulid-py,1.1.0,2.7,whl
454,warrant,0.6.1,3.10,whl
455,xpinyin,0.7.4,3.5,whl
456,anyconfig,0.12.0,2.7,whl
457,beem,0.24.20,3.5,whl
458,bioservices,1.8.0,2.7,gz
459,cs50,7.0.2,2.7,gz
460,dataflows,0.3.2,3.5,whl
461,dedupe,2.0.6,3.5,gz
462,django-photologue,3.14,2.7,whl
463,edx-opaque-keys,2.2.0,2.7,gz
464,fastjsonschema,2.15.1,2.7,gz
465,flask-jwt,0.3.2,3.10,gz
466,flask-mongoengine,1.0.0,3.5,whl
467,fontawesome-free,5.15.1,3.5,whl
468,futu-api,5.9.2108,3.5,gz
469,invenio-db,1.0.8,2.7,whl
470,ipyvolume,0.5.2,2.7,whl
471,jsonrpcclient,4.0.0,2.7,gz
472,knack,0.8.2,2.7,gz
473,locationsharinglib,4.1.1,2.7,gz
474,manimlib,0.2.0,3.5,gz
475,masonite,3.0.11,3.5,whl
476,nlp,0.4.0,2.7,gz
477,odo,0.5.0,3.10,gz
478,pims,0.5,3.10,gz
479,pulumi,3.16.0,2.7,whl
480,pyads,3.3.0,2.7,gz
481,py-flags,1.1.4,2.7,gz
482,pyicloud,0.10.2,3.10,whl
483,pyisbn,1.3.1,3.5,whl
484,pyjade,4.0.0,3.10,gz
485,pypuppetdb,2.5.0,2.7,whl
486,pysimplegui-exemaker,1.3.0,3.5,whl
487,pysimpleguiqt,0.35.0,2.7,gz
488,python3-indy,1.16.0,2.7,gz
489,python-hcl2,3.0.0,3.9,gz
490,subliminal,2.1.0,2.7,whl
491,tapioca-wrapper,2.0.1,3.10,gz
492,tinydb-smartcache,2.0.0,3.5,whl
493,toapi,2.1.2,2.7,gz
494,toolkity,1.9.5,2.7,gz
495,uiautomation,2.0.8,3.8,whl
496,wakatime,13.1.0,3.10,whl
497,adafruit-circuitpython-ble,8.1.0,3.6,gz
498,aiohue,2.6.2,3.6,whl
499,aioimaplib,0.9.0,3.5,whl
500,ansible-runner,2.0.2,2.7,gz
501,antlr4-python3-runtime,4.9,2.7,gz
502,apache-airflow-backport-providers-amazon,2021.3.3,3.10,whl
503,apache-airflow-backport-providers-apache-cassandra,2021.3.17,3.10,whl
504,apache-airflow-backport-providers-apache-druid,2021.3.13,3.10,whl
505,apache-airflow-backport-providers-apache-hdfs,2021.3.17,3.10,whl
506,apache-airflow-backport-providers-apache-livy,2021.3.17,3.10,whl
507,apache-airflow-backport-providers-apache-pig,2021.3.17,3.10,whl
508,apache-airflow-backport-providers-apache-pinot,2020.11.23,3.10,whl
509,apache-airflow-backport-providers-apache-spark,2021.3.3,3.10,whl
510,apache-airflow-backport-providers-apache-sqoop,2021.3.17,3.10,whl
511,apache-airflow-backport-providers-cloudant,2021.3.17,3.10,whl
512,apache-airflow-backport-providers-cncf-kubernetes,2021.3.3,3.10,whl
513,apache-airflow-backport-providers-databricks,2020.11.23,3.10,whl
514,apache-airflow-backport-providers-datadog,2021.3.17,3.10,whl
515,apache-airflow-backport-providers-dingding,2021.3.3,3.10,whl
516,apache-airflow-backport-providers-discord,2021.3.17,3.10,whl
517,apache-airflow-backport-providers-docker,2021.3.3,3.10,whl
518,apache-airflow-backport-providers-elasticsearch,2021.3.17,3.10,whl
519,apache-airflow-backport-providers-exasol,2021.3.3,3.10,whl
520,apache-airflow-backport-providers-facebook,2021.3.17,3.10,whl
521,apache-airflow-backport-providers-google,2021.3.3,3.10,whl
522,apache-airflow-backport-providers-grpc,2021.3.17,3.10,whl
523,apache-airflow-backport-providers-hashicorp,2020.11.23,3.10,whl
